id,code_prefix_start,name
py_acc_group_1,1,"ACTIVO"
py_acc_group_11,1.1,"ACTIVO CORRIENTE"
py_acc_group_1101,1.1.01,"DISPONIBILIDADES"
py_acc_group_110101,1.1.01.01,"CAJA"
py_acc_group_110102,1.1.01.02,"BANCOS"
py_acc_group_110103,1.1.01.03,"RECAUDACIONES A DEPOSITAR"
py_acc_group_110104,1.1.01.04,"FONDOS FIJOS"
py_acc_group_1102,1.1.02,"INVERSIONES TEMPORARIAS"
py_acc_group_110201,1.1.02.01,"INVERSIONES FINANCIERAS"
py_acc_group_110202,1.1.02.02,"INVERSIONES INMOBILIARIAS"
py_acc_group_110203,1.1.02.03,"INVERSIONES EN ENTIDADES VINCULADAS"
py_acc_group_110204,1.1.02.04,"OTRAS INVERSIONES"
py_acc_group_110205,1.1.02.05,"INTERESES, REGALIAS Y OTROS RENDIMIENTOS DE INVERSIONES"
py_acc_group_1103,1.1.03,"CREDITOS"
py_acc_group_110301,1.1.03.01,"DEUDORES POR VENTA"
py_acc_group_110302,1.1.03.02,"DEUDORES POR PRESTAMOS"
py_acc_group_110303,1.1.03.03,"CREDITOS POR IMPUESTOS CORRIENTES"
py_acc_group_110304,1.1.03.04,"ANTICIPO A PROVEEDORES"
py_acc_group_110305,1.1.03.05,"OTROS CREDITOS"
py_acc_group_110399,1.1.03.99,"(-) PREVISION PARA CREDITOS DE DUDOSO COBRO"
py_acc_group_1104,1.1.04,"INVENTARIOS"
py_acc_group_110401,1.1.04.01,"MERCADERIAS"
py_acc_group_110402,1.1.04.02,"MERCADERIAS REGIMENES ESPECIALES"
py_acc_group_110403,1.1.04.03,"PRODUCTOS TERMINADOS"
py_acc_group_110404,1.1.04.04,"PRODUCTOS EN PROCESO"
py_acc_group_110405,1.1.04.05,"MATERIAS PRIMAS"
py_acc_group_110406,1.1.04.06,"MATERIALES, SUMINISTROS Y REPUESTOS"
py_acc_group_110407,1.1.04.07,"PRODUCTOS AGRICOLAS"
py_acc_group_110408,1.1.04.08,"PRODUCTOS FORESTALES"
py_acc_group_110409,1.1.04.09,"ACTIVOS BIOLOGICOS EN PRODUCCION"
py_acc_group_110410,1.1.04.10,"ACTIVOS BIOLOGICOS EN DESARROLLO"
py_acc_group_110411,1.1.04.11,"IMPORTACIONES EN CURSO"
py_acc_group_110499,1.1.04.99,"(-) PREVISION POR DEVALUCACION DE INVENTARIOS"
py_acc_group_1105,1.1.05,"GASTOS PAGADOS POR ADELANTDO"
py_acc_group_110501,1.1.05.01,"ALQUILERES PAGADOS POR ADELANTADO"
py_acc_group_110502,1.1.05.02,"SEGUROS A DEVENGAR"
py_acc_group_1106,1.1.06,"OTROS ACTIVOS"
py_acc_group_12,1.2,"ACTIVO NO CORRIENTE"
py_acc_group_1201,1.2.01,"CREDITOS A LARGO PLAZO"
py_acc_group_120101,1.2.01.01,"DEUDORES POR VENTA A LARGO PLAZO"
py_acc_group_120102,1.2.01.02,"DEUDORES POR PRESTAMOS A LARGO PLAZO"
py_acc_group_120103,1.2.01.03,"ANTICIPO A PROVEEDORES A LARGO PLAZO"
py_acc_group_120104,1.2.01.04,"CREDITOS POR IMPUESTOS DIFERIDOS"
py_acc_group_120199,1.2.01.99,"(-) PREVISION PARA CREDITOS DE DUDOSO COBRO A LARGO PLAZO"
py_acc_group_1202,1.2.02,"INVENTARIOS A RELAIZAR A LARGO PLAZO"
py_acc_group_120201,1.2.02.01,"ACTIVOS BIOLOGICOS EN PRODUCCION A LARGO PLAZO"
py_acc_group_120202,1.2.02.02,"ACTIVOS BIOLOGICOS EN DESARROLLO A LARGO PLAZO"
py_acc_group_120299,1.2.02.99,"(-) PREVISION POR DEVALUACION DE ACTIVOS BIOLOGICOS A LARGO PLAZO"
py_acc_group_1203,1.2.03,"INVERSIONES A LARGO PLAZO"
py_acc_group_120301,1.2.03.01,"INVERSIONES FINANCIERAS"
py_acc_group_120302,1.2.03.02,"INVERSIONES EN ENTIDADES VINCULADAS"
py_acc_group_120303,1.2.03.03,"INVERSIONES INMOBILIARIAS"
py_acc_group_120304,1.2.03.04,"OTRAS INVERSIONES"
py_acc_group_120305,1.2.03.05,"INTERESES, REGALIAS Y OTROS RENDIMIENTOS DE INVERSIONES"
py_acc_group_120399,1.2.03.99,"(-) PREVISION POR DEVALUACION DE INVERSIONES"
py_acc_group_1204,1.2.04,"PROPIEDAD, PLANTA Y EQUIPO"
py_acc_group_120401,1.2.04.01,"INMUEBLES"
py_acc_group_120402,1.2.04.02,"RODADOS/TRANSPORTE"
py_acc_group_120403,1.2.04.03,"MUEBLES, UTILES Y ENSERES"
py_acc_group_120404,1.2.04.04,"MAQUINARIAS"
py_acc_group_120405,1.2.04.05,"EQUIPOS"
py_acc_group_120406,1.2.04.06,"HERRAMIENTAS"
py_acc_group_120407,1.2.04.07,"EQUIPOS DE INFORMATICA"
py_acc_group_120408,1.2.04.08,"INSTALACIONES"
py_acc_group_120409,1.2.04.09,"BIENES FUERA DE OPERACION"
py_acc_group_120497,1.2.04.97,"BIENES INCORPORADOS AL AMPARO DE A LEY 60/90"
py_acc_group_120498,1.2.04.98,"BIENES EN ARRENDAMIENTOS FINANCIEROS"
py_acc_group_120499,1.2.04.99,"(-) DEPRECIACION ACUMULADA"
py_acc_group_1205,1.2.05,"OTROS ACTIVOS A LARGO PLAZO"
py_acc_group_120501,1.2.05.01,"DERECHOS FIDUCIARIOS"
py_acc_group_1206,1.2.06,"CARGOS DIFERIDOS"
py_acc_group_120601,1.2.06.01,"GASTOS DE CONSTITUCION"
py_acc_group_120602,1.2.06.02,"GASTOS DE ORGANIZACION"
py_acc_group_120603,1.2.06.03,"GASTOS DE DESARROLLO"
py_acc_group_120604,1.2.06.04,"GASTOS DE PROYECTOS DE INVERSION"
py_acc_group_120699,1.2.06.99,"(-) AMORTIZACION ACUMULADA"
py_acc_group_1207,1.2.07,"ACTIVOS INTANGIBLES"
py_acc_group_120701,1.2.07.01,"LICENCIAS, MARCAS Y PATENTES"
py_acc_group_120702,1.2.07.02,"FRANQUICIAS"
py_acc_group_120799,1.2.07.99,"(-) AMORTIZACION ACUMULADA"
py_acc_group_2,2,"PASIVO"
py_acc_group_21,2.1,"PASIVO CORRIENTE"
py_acc_group_2101,2.1.01,"ACREEDORES COMERCIALES"
py_acc_group_210101,2.1.01.01,"PROVEEDORES LOCALES"
py_acc_group_210102,2.1.01.02,"PROVEEDORES DEL EXTERIOR"
py_acc_group_210103,2.1.01.03,"INTERESES A PAGAR A PROVEEDORES"
py_acc_group_210104,2.1.01.04,"OTROS ACREEDORES"
py_acc_group_2102,2.1.02,"OTRAS CUENTAS POR PAGAR"
py_acc_group_210201,2.1.02.01,"DEUDAS FISCALES CORRIENTES"
py_acc_group_210202,2.1.02.02,"OBLIGACIONES LABORALES Y CARGAS SOCIALES"
py_acc_group_210203,2.1.02.03,"DIVIDENDOS A PAGAR"
py_acc_group_210204,2.1.02.04,"PASIVOS FIDUCIARIOS"
py_acc_group_2103,2.1.03,"DEUDAS FINANCIERAS"
py_acc_group_210301,2.1.03.01,"PRESTAMOS DE BANCOS Y OTRAS ENTIDADES FINANCIERAS"
py_acc_group_210302,2.1.03.02,"PRESTAMOS DE DUEÑO, SOCIOS o ENTIDADES VINCALADAS"
py_acc_group_210303,2.1.03.03,"ARRENDAMIENTOS FINANCIEROS"
py_acc_group_210304,2.1.03.04,"OTROS PRESTAMOS A PAGAR"
py_acc_group_210305,2.1.03.05,"INTERES A PAGAR"
py_acc_group_2104,2.1.04,"PROVISIONES"
py_acc_group_210401,2.1.04.01,"OBLIGACIONES POR GARANTIAS OTORGADAS"
py_acc_group_210402,2.1.04.02,"OBLIGACIONES LEGALES POR LITIGIOS"
py_acc_group_210403,2.1.04.03,"PROVISION PARA BENEFICIOS A EMPLEADOS"
py_acc_group_2105,2.1.05,"INGRESOS DIFERIDOS"
py_acc_group_210501,2.1.05.01,"ANTICIPOS DE CLIENTES"
py_acc_group_210502,2.1.05.02,"SUBVENCIONES"
py_acc_group_210503,2.1.05.03,"DERECHOS DE FIDELIZACION DE CLIENTES"
py_acc_group_210504,2.1.05.04,"ALQUILERES COBRADOS POR ADELANTADO"
py_acc_group_22,2.2,"PASIVO NO CORRIENTE"
py_acc_group_2201,2.2.01,"ACRREDORES COMERCIALES A LARGO PLAZO"
py_acc_group_220101,2.2.01.01,"PROVEEDORES LOCALES"
py_acc_group_220102,2.2.01.02,"PROVEEDORES DEL EXTERIOR"
py_acc_group_220103,2.2.01.03,"INTERESES A PAGAR A PROVEEDORES"
py_acc_group_220104,2.2.01.04,"OTROS ACREEDORES"
py_acc_group_2202,2.2.02,"DEUDAS FINANCIERAS A LARGO PLAZO"
py_acc_group_220201,2.2.02.01,"PRESTAMOS DE BANCOS Y OTRAS ENTIDADES FINANCIERAS"
py_acc_group_220202,2.2.02.02,"PRESTAMOS DEL DUEÑO, SOCIOS O ENTIDADES VINCULADAS"
py_acc_group_220203,2.2.02.03,"ARRENDAMIENTOS FINANCIEROS"
py_acc_group_220204,2.2.02.04,"OTROS PRESTAMOS"
py_acc_group_220205,2.2.02.05,"INTERESES A PAGAR"
py_acc_group_2203,2.2.03,"OTRAS CUENTAS POR PAGAR"
py_acc_group_220301,2.2.03.01,"PASIVOS POR IMPUESTOS DIFERIDOS"
py_acc_group_220302,2.2.03.02,"PASIVOS FIDUCIARIOS"
py_acc_group_2204,2.2.04,"PROVISIONES PARA OBLIGACIONES A LARGO PLAZO"
py_acc_group_220401,2.2.04.01,"OBLIGACIONES POR GARANTIAS OTORGADAS"
py_acc_group_220402,2.2.04.02,"OBLIGACIONES LEGALES POR LITIGIOS PENDIENTES"
py_acc_group_220403,2.2.04.03,"PROVICIONES PARA BENEFICIOS A EMPLEADOS"
py_acc_group_2205,2.2.05,"INGRESOS DIFERIDOS A LARGO PLAZO"
py_acc_group_220501,2.2.05.01,"ANTICIPOS DE CLIENTES"
py_acc_group_220502,2.2.05.02,"SUBVENCIONES"
py_acc_group_220503,2.2.05.03,"DERECHOS DE FIDELIZACION DE CLIENTES"
py_acc_group_220504,2.2.05.04,"ALQUILERES COBRADOS POR ADELANTADO"
py_acc_group_3,3,"PATRIMONIO NETO"
py_acc_group_31,3.1,"CAPITAL"
py_acc_group_32,3.2,"RESERVAS"
py_acc_group_3201,3.2.01,"RESERVA LEGAL"
py_acc_group_3202,3.2.02,"RESERVA DE REVALUO"
